"symptom","keywords","description_1","medicine_1","doctor_consult_1","food_suggestions_1","lifestyle_suggestions_1","description_2","medicine_2","doctor_consult_2","food_suggestions_2","lifestyle_suggestions_2","description_3","medicine_3","doctor_consult_3","food_suggestions_3","lifestyle_suggestions_3"
"Snoring/Sleep Apnea","snoring;kharrate;loud snoring;choking in sleep;stopped breathing sleep;sleep apnea;daytime sleepiness","Loud snoring happens when airflow is partially blocked. If breathing actually stops briefly, it's Sleep Apnea (serious).","Sleep on your SIDE, not back. Lose weight if overweight (even 5kg helps hugely). Avoid alcohol before bed (relaxes throat muscles too much).","Consult if your partner says you 'stop breathing' or 'gasp' in sleep;or if you are excessively sleepy during the day.","HAVE: Light dinner. AVOID: Alcohol;sedatives/sleeping pills (can make apnea worse dangerous).","Elevate head of bed slightly. Clear nasal congestion before sleep with saline spray.","Persistent Sleep Apnea strains the heart and causes high BP, morning headaches, and poor focus.","CPAP machine is the gold standard treatment - it keeps airways open with air pressure while you sleep.","See pulmonologist/ENT for a 'Sleep Study' (Polysomnography) to diagnose.","HAVE: Healthy diet for weight loss. AVOID: smoking (increases throat inflammation).","Throat exercises (myofunctional therapy) can sometimes help reduce snoring.","Severe untreated sleep apnea significantly increases risk of heart attack and stroke while sleeping.","Requires strict adherence to CPAP therapy or sometimes surgery.","URGENT: Consult if you fall asleep uncontrollably during the day (e.g., while driving).","HAVE: Water before bed to prevent sticky mucus. AVOID: heavy meals late at night.","Singing can actually tone throat muscles and might reduce mild snoring!"
"Tuberculosis (TB)","TB;tapadik;coughing blood;weight loss unexpalined;night sweats;evening fever;chronic cough;chest pain breathing","TB is a serious bacterial infection usually affecting lungs. Early signs are persistent cough and mild fever in evenings.","No home remedies. Requires strict medical regimen (DOTS therapy). Paracetamol for fever temporarily.","Consult IMMediately if you cough up blood;or have had a cough for >3 weeks with weight loss.","HAVE: High protein diet (eggs/paneer/soya) is CRUCIAL for recovery. AVOID: Alcohol;smoking (makes TB much worse).","Isolate properly if diagnosed. Wear a mask to protect family. Open windows for ventilation.","As it progresses, you might have drenching night sweats, severe fatigue, and chest pain.","Anti-TB drugs (Rifampicin/Isoniazid etc.) must be taken exactly as prescribed without missing a SINGLE dose.","See doctor if you develop jaundice (side effect of TB meds) or vision changes.","HAVE: Dense nutritious frequent meals. AVOID: malnourishment drastically lowers recovery chance.","Sunlight kills TB bacteria - keep patient's room sunny and airy.","Untreated TB is fatal and highly contagious. Multi-Drug Resistant (MDR-TB) TB is very hard to treat.","Specialized second-line drugs needed for MDR-TB under strict supervision.","URGENT: RUSH TO HOSPITAL if massive amount of blood is coughed up (emergency).","HAVE: Supplements as prescribed by doctor (often B6 is given with TB meds). AVOID: discontinuing meds when you feel better.","Adherence to the 6-9 month course is the only way to be cured completely."
"PCOS (Polycystic Ovary Syndrome)","PCOS;PCOD;irregular periods;facial hair women;acne jawline;weight gain sudden;cysts on ovaries;difficulty conceiving","Hormonal imbalance common in women. Causes irregular missed periods, acne, and weight gain.","Lifestyle change is the main 'medicine'. Sometimes oral contraceptives prescribed to regulate cycle.","Consult gynecologist if you have <4 periods a year;or are trying to conceive without success.","HAVE: Low Glycemic Index foods;high fiber;protein. AVOID: Refined sugar/maida;processed snacks (insulin resistance is key in PCOS).","Exercise 30-45 mins daily (crucial for managing insulin). Manage stress.","Persistent untreated PCOS can lead to higher risk of diabetes and endometrial issues later.","Metformin is often prescribed to help with insulin resistance and weight.","See doctor for annual checkups of blood sugar and cholesterol.","HAVE: Spearmint tea (some studies say it helps reduce excess testosterone). AVOID: crash diets which mess up hormones more.","Track your cycles. even 5-10% weight loss can restart regular periods.","Severe long-term complications include infertility or metabolic syndrome.","Fertility treatments (like Clomiphene) might be needed if trying for a baby.","URGENT: Consult if you have very heavy prolonged bleeding (>7 days) after a long period of no flow.","HAVE: Balanced sustainable diet. AVOID: plastics in food storage (endocrine disruptors might worsen it).","Prioritize sleep - poor sleep worsens hormonal resistance."
"Tonsillitis","tonsils;tonsil badhna;swollen throat glands;painful swallowing;white spots tonsils;fever with throat pain;bad breath throat","Infection of the tonsils (two oval pads at back of throat). They get red, swollen, and very painful.","Warm salt water gargles every 2 hours. Lozenges for soothing. Paracetamol for pain/fever.","Consult if pain is so severe you can't swallow your own saliva;or fever >102°F.","HAVE: Cold ice cream (soothes inflammation);smoothies;lukewarm soup. AVOID: Crunchy toast/chips;spicy foods.","Voice rest. Humidifier in room. Discard toothbrush after recovering to avoid re-infection.","Bacterial tonsillitis (strep) often has white pus spots on tonsils and high fever without cough.","Antibiotics (Penicillin group usually) needed if bacterial. Complete the course to prevent rheumatic fever.","See ENT if you get this >5-7 times a year (might need tonsillectomy).","HAVE: Honey and warm water. AVOID: very hot liquids that irritate raw tissues.","Avoid smoking or passive smoke.","Quinsy (Peritonsillar Abscess) is a severe complication where pus collects *behind* the tonsil.","Requires drainage of pus by a doctor with a needle/small cut.","URGENT: Consult if you have difficulty breathing;drooling;or can't open mouth fully (lockjaw/trismus).","HAVE: Liquid diet. AVOID: ignoring one-sided severe throat pain.","Good oral hygiene can sometimes reduce frequency of attacks."
"IBS (Irritable Bowel Syndrome)","IBS;sensitive stomach;alternating diarrhea constipation;bloating after eating;gas pain cramping;mucus in stool;urgent need to poop","Gut sensitivity causing cramps, gas, and alternating between loose motions and constipation. NOT dangerous but annoying.","Identify triggers. Peppermint oil capsules can help cramps. Probiotics might help regulate gut.","Consult if you have weight loss;blood in stool (NOT symptoms of IBS - need investigation).","HAVE: Low FODMAP diet (restrict certain carbs temporarily to find triggers);curd;rice. AVOID: Common triggers: onions;garlic;beans;cabbage;milk (if lactose intolerant).","Regular meal times. Reduce stress (gut-brain axis is strong in IBS). Yoga helps.","Persistent IBS can cause anxiety about going out. You might feel you haven't completely emptied your bowel.","Antispasmodics (Meftal-Spas) for severe cramp days. Laxatives/anti-diarrheals used based on current predominant symptom.","See gastroenterologist to rule out Celiac disease or IBD if symptoms are severe.","HAVE: Soluble fiber (isabgol) can help BOTH diarrhea and constipation by regulating consistency. AVOID: caffeine and artificial sweeteners.","Keep a food diary to match what you ate with symptoms next day.","Severe IBS can significantly impact quality of life but does NOT lead to cancer or serious organ damage.","Cognitive Behavioral Therapy or low-dose antidepressants sometimes used for severe gut hypersensitivity.","URGENT: Consult if severe pain doesn't go away after passing stool or gas.","HAVE: Small frequent meals. AVOID: large heavy meals that overstretch the gut.","Hypnotherapy specifically for gut has shown good results for some."
"Intestinal Worms","worms;pet mein kide;itchy anus night;stomach worms;grinding teeth sleep;white threads in poop;hungry all time","Common in kids. parasite infection causing anal itching (especially at night) and sometimes stomach ache.","De-worming tablet (Albendazole 400mg) - usually one dose, repeated after 2 weeks. Treat WHOLE family.","Consult if you see large worms in stool;vomiting worms (rare but possible in severe roundworm);or persistent toddler diarrhea.","HAVE: Raw papaya/pumpkin seeds (traditional supports);healthy home food. AVOID: excess sugar (doesn't cause worms but they thrive on it).","Cut nails very short (eggs get trapped under nails when scratching bum). Wash hands with soap before eating strictly.","Heavy infestation can cause malnutrition, anemia, or intestinal blockage (roundworms).","Iron supplements if anemia has developed due to hookworms.","See pediatrician if child is not gaining weight despite good appetite.","HAVE: Carrots (rich in fiber/Vitamin A). AVOID: walking barefoot outdoors (hookworms enter through feet).","Wash all raw vegetables/fruits thoroughly before eating.","Very rarely, worms can travel to other organs (brain/eyes - cysticercosis from pork tapeworm eggs).","Requires specialized long-term antiparasitic treatment and steroids.","URGENT: Consult if seizures occur (neurocysticercosis sign);or severe abdominal pain with vomiting (blockage).","HAVE: Clean filtered water. AVOID: roadside food where hygiene is doubtful.","Regular de-worming every 6-12 months is often recommended for kids in endemic areas."
"Psoriasis","psoriasis;silvery scales;chale skin;thick red patches;itchy scalp plaques;nail pitting;joint pain skin","Autoimmune condition causing rapid skin cell growth. Results in thick, red patches with silvery-white scales.","Keep skin extremely moisturized (coconut oil/Vaseline). Coal tar shampoos for scalp. Sunlight helps (moderate exposure).","Consult if it covers large areas;affects joints (psoriatic arthritis);or causes severe emotional distress.","HAVE: Anti-inflammatory foods (fish;nuts). AVOID: Alcohol;smoking (major triggers for flares);red meat.","Avoid injuring skin (cuts/scrapes can turn into new psoriasis patches - Koebner phenomenon). Manage stress.","Persistent plaques often on elbows/knees/scalp. They might crack and bleed.","Dermatologist prescribed Vitamin D analogues (Calcipotriol) or topical steroids for flares.","See rheumatologist if you develop joint stiffness/swelling along with skin issues.","HAVE: Turmeric (curcumin) might help inflammation. AVOID: hot water baths which dry skin further.","Wear soft cotton clothing.","Severe Psoriasis can be widespread and very painful.","Systemic treatments like Methotrexate or modern Biologics (injections) might be needed.","URGENT: Consult if skin becomes universally red and shedding (Erythrodermic psoriasis - medical emergency).","HAVE: Healthy weight (obesity worsens psoriasis). AVOID: strong steroid withdrawal (can cause severe rebound).","It's not contagious! You can't catch it from touching someone."
"Vaginal Yeast Infection (Candidiasis)","yeast infection;thrush;curdy white discharge;vaginal itching;itching private parts;painful urination women;fungal infection women","Fungal overgrowth causing intense itching and thick, white 'cottage cheese' like discharge.","OTC Clotrimazole vaginal pessary (tablet inserted inside) for 3-6 days. Apply antifungal cream externally for itching.","Consult if it's your first time (to confirm it's not an STD);or if it doesn't clear in a week.","HAVE: Probiotic curd/yogurt (contains lactobacillus). AVOID: Excess sugar/sweets (yeast feeds on sugar);yeasted breads temporarily.","Wear breathable cotton underwear. Avoid scented feminine hygiene sprays or douches (they kill good bacteria).","Recurrent infections (>4 times a year) might indicate underlying issues like uncontrolled diabetes.","Oral Fluconazole tablet (single dose) might be prescribed by doctor.","See gynecologist to rule out other infections like Bacterial Vaginosis which need different meds.","HAVE: Garlic (natural antifungal). AVOID: sitting in wet swimsuits/gym clothes.","Sleep without underwear to let the area 'breathe'.","Severe or complicated yeast infection can cause fissures (cracks) and severe swelling.","Longer course of oral/topical antifungals required (maintenance therapy for 6 months sometimes).","URGENT: Consult if you have pelvic pain or fever (could be PID, not just yeast).","HAVE: Balanced diet low in refined carbs. AVOID: antibiotics unless necessary (they often trigger yeast infections).","Wiping from front to back prevents transferring yeast from gut to vagina."
"Vitamin B12 Deficiency","B12 deficiency;tingling hands feet;pins and needles;forgetfulness;mouth ulcers tongue;weakness;vegetarian vitamin","Very common in vegetarians/vegans. Causes nerve issues (tingling), fatigue, and memory fog.","Supplements (Methylcobalamin) are usually needed as veg food sources are scarce.","Consult if you have numbness;balance issues;or intense fatigue.","HAVE: Milk;curd;paneer;cheese;fortified cereals. (Non-veg: eggs/fish/chicken are best sources). AVOID: long-term use of antacids without doctor advice (reduces B12 absorption).","If vegetarian, consider taking a regular low-dose B12 supplement proactively.","Persistent deficiency can lead to permanent nerve damage. You might feel 'pins and needles' constantly in hands/feet.","B12 Injections might be needed initially to boost levels quickly if they are very low.","See neurologist if you have difficulty walking or severe memory lapses.","HAVE: Nutritional yeast (if available). AVOID: ignoring tingling symptoms."," Alcohol can interfere with B12 absorption, moderate intake.","Severe deficiency can cause 'megaloblastic anemia' and neurological degeneration.","Requires lifelong supplementation if absorption is the issue (Pernicious Anemia).","URGENT: Consult if severe unsteadiness or confusion develops.","HAVE: Regular dairy intake if vegetarian. AVOID: strict vegan diet without supplementation.","Get levels checked annually if you are strictly vegetarian."
"Dehydration (Severe)","dehydration;paani ki kami;dry mouth tongue;dark yellow urine;no urine;sunken eyes;dizzy standing up;lethargy","Losing more fluid than you take in (due to vomiting, diarrhea, or extreme heat). dangerous for kids/elderly.","Sip ORS (Oral Rehydration Solution) frequently - not just plain water. suck on ice chips.","Consult if NO urine passed for >8 hours;extreme lethargy;or confusion.","HAVE: ORS;coconut water;diluted juices;watery fruits (watermelon). AVOID: Coffee/Tea/Alcohol (diuretics - make you pee more);high protein diet temporarily.","Rest in a cool place. If child is dehydrated, give small sips every few minutes rather than large amounts at once (to prevent vomiting).","Persistent dehydration affects kidney function. Skin might lose elasticity ('tents' when pinched).","Medical attention needed for IV fluids if oral intake isn't keeping up with losses.","See doctor if underlying cause (like continuous vomiting) isn't stopping.","HAVE: salty snacks (crackers) with water can help retain fluid if ORS not available. AVOID: sports drinks with too much sugar for severe diarrhea cases.","Monitor urine color - aim for pale straw color.","Severe dehydration can lead to shock, kidney failure, and death.","Emergency IV resuscitation required in hospital.","URGENT: RUSH TO HOSPITAL if person is unconscious;has rapid weak pulse;or cold hands/feet.","HAVE: IV fluids. AVOID: intense activity until fully recovered (takes 24-48 hours).","Always carry water during Indian summers."
"Carpal Tunnel Syndrome","carpal tunnel;wrist pain;numb fingers;tingling thumb index finger;pain typing;hand weakness;dropping things","Nerve pinched in the wrist, often from repetitive use (typing/mouse). Causes numbness/pain in thumb, index, and middle fingers.","Rest the hand. Wear a wrist splint at NIGHT to keep wrist neutral (straight). severe pain.","Consult if numbness is constant;or grip strength is weak (dropping objects).","HAVE: Anti-inflammatory foods (turmeric/ginger). AVOID: Salty foods (water retention can increase swelling in wrist).","Take frequent breaks from typing to stretch wrists. Ergonomic mouse/keyboard setup.","Persistent symptoms can lead to permanent nerve damage and wasting of thumb muscles.","Corticosteroid injection into the wrist can provide long-term relief for many.","See orthopedist if night pain prevents sleep despite splinting.","HAVE: Vitamin B6 supplements (sometimes helpful, ask doctor). AVOID: sleeping with wrists bent (curled under pillow).","Use voice-to-text if typing is very painful.","Severe cases with muscle wasting require surgery to release the pressure on nerve.","Carpal tunnel release surgery is a common and effective procedure.","URGENT: Consult if you completely lose feeling in fingers.","HAVE: Balanced diet. AVOID: ignoring early tingling - it's easier to fix early.","Stretching exercises (prayer stretch) done daily can help prevention."
"Gout","gout;high uric acid;big toe pain;sudden joint pain;red hot joint;gathiya;rich man's disease","Type of arthritis caused by high uric acid crystals in joints. Classic sign is sudden, severe pain in BIG TOE.","Rest and elevate the joint. Ice pack for 20 mins. NSAIDs (Indomethacin/Naproxen) work best if taken IMMEDIATELY.","Consult if fever is present with joint pain (could be septic arthritis - dangerous);or if attacks are frequent.","HAVE: Cherries (tart cherry juice);plenty of water;low-fat dairy. AVOID: Alcohol (especially beer);red meat;shellfish;organ meats;high fructose drinks.","Weight loss helps significantly. Stay hydrated to flush out uric acid.","Persistent high uric acid can cause tophi (hard lumps of crystals) under skin and kidney stones.","Allopurinol or Febuxostat are long-term preventative meds to lower uric acid. NOT started during an acute attack.","See rheumatologist for long-term management if you have >2 attacks/year.","HAVE: Complex carbs. AVOID: sudden crash diets (can trigger an attack).","Limit sweetened beverages.","Severe chronic gout can destroy joints and damage kidneys.","Requires lifelong urate-lowering therapy.","URGENT: Consult if joint is extremely hot;red;and you have fever (rule out infection).","HAVE: Vegetable proteins (dals/beans) are generally safer than animal proteins for gout. AVOID: Aspirin (can raise uric acid).","It's often hereditary but strongly influenced by diet/lifestyle."
"Stye (Hordeolum)","stye;aankh ki bilni;pimple on eyelid;painful red bump eye;swollen eyelid;eye abscess","A red, painful lump near the edge of eyelid, like a pimple. usually a bacterial infection of an eyelash follicle.","Warm compress is the GOLD STANDARD: clean cloth dipped in warm water, applied for 10-15 mins, 4 times/day.","Consult if it doesn't start shrinking after 48 hours of warm compresses;or if entire eyelid swells up causing vision issue.","HAVE: Normal diet. AVOID: Rubbing eyes;wearing eye makeup/contact lenses until healed.","Don't 'pop' it like a pimple! It might spread infection. Wash hands before touching face.","Persistent stye might turn into a Chalazion (hard painless lump) which takes longer to go.","Antibiotic eye ointment (Erythromycin) sometimes prescribed if it's recurring or draining a lot.","See ophthalmologist if it keeps coming back (might need vision check or diabetes check).","HAVE: Flaxseed (omega-3) might help prevent blockage of oil glands. AVOID: using old expired eye cosmetics.","Clean eyelids with diluted baby shampoo if prone to them (Blepharitis).","Severe cases can spread infection to the whole eyelid/skin around eye (Preseptal Cellulitis).","Requires oral antibiotics.","URGENT: Consult if eye itself is red and painful, or you have fever and double vision.","HAVE: Hydration. AVOID: putting pure hot water directly on eye (burn risk) - test temp on wrist first.","Most drain and heal on their own within a week with just warm compresses."
"Bronchitis (Acute)","bronchitis;chest cold;cough with mucus;sore chest;wheezing mild;rattling cough;fever mild cough","Inflammation of lower airways, usually AFTER a cold/flu. Causes persistent cough with mucus for weeks.","Steam inhalation is best to loosen mucus. Honey for cough. Rest. Most are viral, so antibiotics DON'T help.","Consult if cough lasts >3 weeks;mucus contains blood;or high fever >102°F.","HAVE: Warm fluids;soup;ginger tea. AVOID: Smoking (absolutely critical to stop);dusty/polluted environments.","Use a humidifier. Sleep propped up to reduce overnight coughing.","Persistent bronchitis in smokers can turn into Chronic Bronchitis (COPD) - irreversible lung damage.","Cough suppressants ONLY at night if sleep is impossible. Expectorants during day to clear mucus.","See pulmonologist if you get this every winter (sign of asthma or COPD).","HAVE: Spicy foods might help thin mucus. AVOID: dairy if it makes phlegm feel thicker (subjective).","Wear a mask in highly polluted areas.","Severe bronchitis can lead to pneumonia, especially in elderly.","Chest X-ray needed if high fever and breathing trouble develop.","URGENT: Consult if severe shortness of breath;blue lips;or confusion occurs.","HAVE: Nutritious diet to support immunity. AVOID: passive smoking.","Getting annual flu shot can prevent many cases of bronchitis."
"Kidney Infection (Pyelonephritis)","kidney infection;high fever back pain;flank pain;severe UTI;shivering with urine pain;vomiting with back pain","Usually a UTI that traveled up to kidneys. Much worse than simple UTI - causes HIGH fever, chills, and severe side/back pain.","Require medical treatment. Start drinking lots of water immediately while heading to doctor. Paracetamol for fever.","Consult IMMediately. This is not treatable at home with just remedies.","HAVE: Plain water;coconut water;bland foods if nauseous. AVOID: Coffee;alcohol;spicy food.","Complete bed rest is usually needed due to severity of fever and pain.","Persistent or untreated infection can permanently scar kidneys or spread to blood (sepsis).","Antibiotics (often injectable initially, then oral for 10-14 days) are MANDATORY.","See urologist if you get these often to check for stones or reflux issues.","HAVE: Cranberry supplements might help prevention (ask doctor). AVOID: delaying treatment - it can get dangerous fast.","Urinate frequently.","Severe cases can cause kidney abscess or life-threatening sepsis.","Hospitalization for IV antibiotics and fluids is standard for severe cases.","URGENT: RUSH TO HOSPITAL if confused;blood pressure drops (feeling faint);or unable to keep oral meds down due to vomiting.","HAVE: Easy to digest foods. AVOID: NSAID painkillers (like Brufen) as they can stress infected kidneys further.","Finish EVERY single antibiotic pill even if you feel 100% better in 3 days."
"Allergic Rhinitis (Hay Fever)","allergic rhinitis;hay fever;naak behna allergy;sneezing fits;itchy nose eyes;runny nose clear water;dust allergy","Allergic reaction to dust, pollen, or pets. Causes non-stop sneezing, watery itchy eyes, and runny nose.","Antihistamines (Cetirizine/Allegra) provide quick relief. Saline nasal sprays wash out allergens.","Consult if OTC meds don't work;or if it causes severe sinus infections/asthma flares.","HAVE: Warm fluids. Local honey (some believe it helps pollen allergies). AVOID: Known triggers (dusting without mask;pets in bedroom).","Shower after coming indoors from outside to wash off pollen. Keep windows closed during high pollen times.","Persistent allergies can lead to nasal polyps or chronic sinusitis. You might be a 'mouth breather'.","Steroid nasal sprays (Fluticasone) are most effective for long-term control if used DAILY during allergy season.","See allergist for Skin Prick Testing to find exact triggers if severe.","HAVE: Vitamin C rich foods. AVOID: hanging clothes to dry outside during pollen season.","Use an air purifier in bedroom if dust/pollution is a major trigger.","Severe allergies rarely cause Anaphylaxis (usually food/drug/sting allergies, not rhinitis).","Immunotherapy (allergy shots) can sometimes 'cure' it over few years.","URGENT: Consult if you also have wheezing/chest tightness (allergic asthma).","HAVE: Anti-inflammatory diet. AVOID: rubbing eyes constantly (causes dark circles - 'allergic shiners').","Vacuum regularly with HEPA filter."
"Gallstones","gallstones;pitt ki pathri;pain upper right stomach;pain after fatty meal;biliary colic;nausea right side pain","Stones in gallbladder. Often no symptoms, but can cause sudden severe pain in upper right belly, especially after oily food.","For an attack: no food, sips of water, painkiller (Diclofenac injection often needed from doctor). Heating pad might help mildly.","Consult if pain lasts >2-4 hours;or is accompanied by fever/yellow eyes (jaundice).","HAVE: Low-fat high-fiber diet (fruits/veggies/whole grains). AVOID: Fried foods;ghee;cream;cheese;red meat (major triggers).","Maintain healthy weight, but avoid rapid crash diets (can CAUSE stones).","Persistent stones causing multiple attacks usually need surgery.","Ursodiol medication can sometimes dissolve small non-calcified stones (takes months/years, low success rate).","See surgeon. Gallbladder removal (cholecystectomy) is the standard effective cure.","HAVE: Coffee (moderate amounts linked to lower risk). AVOID: large heavy meals.","Eating regular meals helps gallbladder empty regularly.","Severe complications: inflamed gallbladder (cholecystitis), blocked bile duct (jaundice), or pancreatitis (very dangerous).","Emergency surgery might be needed for acute infected gallbladder.","URGENT: RUSH TO HOSPITAL if pain is unbearable;high fever with chills;or vomiting continuously.","HAVE: Clear liquids during attacks. AVOID: fatty foods even after surgery initially (let body adapt).","You can live a totally normal life without a gallbladder."
"Cold Sores (Herpes Labialis)","cold sore;fever blister;munh ke chale lips;tingling on lip;blister on lip;herpes lips","Viral infection (HSV-1) causing painful fluid-filled blisters ON or around lips. Highly contagious while blister is present.","Acyclovir cream applied 5 times/day at the VERY FIRST sign of tingling (before blister fully forms) helps most.","Consult if it's near your eyes (dangerous!);lasts >2 weeks;or very frequent attacks.","HAVE: Cool soft foods. Lysine supplements might help prevent attacks. AVOID: Acidic/salty foods that sting the open sore;nuts/chocolate (arginine might trigger flares).","Don't kiss anyone or share cups/utensils while you have a sore. Don't pick the scab.","Persistent or frequent attacks often triggered by stress, sunlight, or other illness (hence 'fever blister').","Oral antiviral pills (Valacyclovir) can be prescribed by doctor for severe outbreaks to shorten healing time.","See dermatologist if you have eczema and get cold sores (risk of widespread infection).","HAVE: Immune boosting foods. AVOID: intense sunlight on lips (use SPF lip balm).","Replace toothbrush after blister heals.","Severe widespread infection can occur in newborns or immunocompromised people.","Requires IV antivirals in hospital.","URGENT: Consult if it spreads to eyes (can cause blindness).","HAVE: Zinc supplements. AVOID: touching it then touching genitals (can spread virus there).","Once you have the virus, it stays in body forever, but outbreaks can be managed."
"Head Lice","head lice;juen;lice eggs;nits;itchy head kids;crawling sensation scalp;white specks hair","Tiny insects living in hair and drinking blood from scalp. Very common in school kids. intense itching.","Use Lice Shampoo (Mediker/Permethrin 1%) strictly according to directions. MUST use fine-toothed lice comb to remove nits (eggs) manually.","Consult if standard treatments fail after 2 attempts;or scalp is infected from scratching.","HAVE: Normal diet. AVOID: sharing combs;hats;hair accessories;helmets.","Wash bed linen/towels in hot water. Tie long hair up in braids for school to prevent catching them.","Persistent lice usually means eggs (nits) weren't fully removed. They hatch after 7-10 days causing re-infestation.","Oral Ivermectin is sometimes prescribed for very stubborn cases.","See dermatologist if you can't get rid of them.","HAVE: Good general hygiene. AVOID: home remedies like kerosene (DANGEROUS and ineffective).","Check all family members. Wet combing with conditioner every 3 days for 2 weeks is very effective.","Severe untreated infestation can lead to matted hair and bacterial scalp infections.","Requires cutting hair short sometimes if untreatable otherwise due to matting.","URGENT: Consult if scalp has open pus-filled sores and swollen lymph nodes in neck.","HAVE: Patience - it takes time to pick out every egg. AVOID: shame - it has nothing to do with being 'dirty'.","Lice can't jump or fly, they only crawl from head to head."
"Appendicitis","appendicitis;appendix pain;pain lower right belly;navel pain moving to right;rebound tenderness;fever with stomach pain","Inflammation of the appendix. Pain often starts around navel, then moves to lower RIGHT side. Worsens with movement/coughing.","Medical Emergency. DO NOT use heating pads. DO NOT take laxatives (can cause it to burst). Go to hospital.","Consult IMMediately. Better to be checked and sent home than ignore a bursting appendix.","HAVE: Nothing by mouth (NBM) if you suspect it, in case surgery is needed. AVOID: Eating/drinking anything until doctor checks.","If pressing on the area and quickly releasing it hurts MORE (rebound tenderness), it's a classic sign.","Persistent pain that suddenly stops might mean it has burst (ruptured) - this is deceptively dangerous as serious infection follows soon.","Surgery (Appendectomy) is the only cure. Antibiotics given before surgery.","See surgeon immediately. Ultrasound/CT scan confirms diagnosis.","HAVE: Liquid diet post-surgery, slowly advancing to solids. AVOID: lifting heavy things for few weeks post-surgery.","It can happen to anyone, usually ages 10-30.","Severe Ruptured Appendix causes Peritonitis (infection of whole abdomen), which is life-threatening.","Emergency open surgery and strong IV antibiotics required.","URGENT: RUSH TO HOSPITAL if severe right side pain accompanied by vomiting and fever.","HAVE: IV fluids in hospital. AVOID: delaying - time is critical.","Recovery from laparoscopic surgery is usually quick (1-2 weeks)."
"Tetanus (risk after injury)","tetanus;lockjaw;dhanustambha;rusty nail injury;muscle stiffness spasms;jaw tight;puncture wound risk","Bacterial infection from soil/dirt entering a deep cut (not just rusty nails!). Causes severe painful muscle spasms, starting with jaw.","IMMEDIATE cleaning of ANY deep/dirty wound with soap and water. Get Tetanus Toxoid (TT) injection if not taken in last 5-10 years.","Consult if you have a deep puncture wound;wound contaminated with dirt/manure;or animal bite.","HAVE: Normal diet. AVOID: ignoring deep dirty wounds even if they don't look 'bad'.","Good wound care is key. Leave deep dirty wounds open (don't bandage tightly immediately) until doctor sees them.","Persistent symptoms start days to weeks after injury. Stiffness in jaw ('lockjaw') or neck, difficulty swallowing.","Tetanus Immunoglobulin (TIG) injection needed if symptoms appear (neutralizes toxin). ICU care required.","See doctor for EVERY deep wound to assess need for booster.","HAVE: High calorie intake if recovering (illness burns massive energy). AVOID: home remedies like putting turmeric on deep dirty wounds without cleaning first.","Vaccination is practically 100% effective prevention.","Severe Tetanus causes violent whole-body spasms that can break bones and stop breathing. High fatality rate.","Requires ventilator support in ICU for weeks, muscle paralytics, and sedation.","URGENT: RUSH TO HOSPITAL if you have muscle stiffness or spasms after a recent injury.","HAVE: IV nutrition in ICU. AVOID: assuming you are safe if you had vaccines as a baby - boosters are needed every 10 years.","Check your vaccination status today."
"Influenza (Flu)","flu;influenza;viral fever severe;body ache fever;high fever cough;seasonal flu;bedridden with cold","Unlike a common cold, the Flu hits you suddenly like a truck. High fever, severe body aches, and extreme fatigue are common.","Paracetamol (Dolo/Crocin) for fever/aches. Oseltamivir (Tamiflu) ONLY if prescribed early (within 48hrs). Rest is the main cure.","Consult if fever >103°F lasts >3 days;or difficulty breathing (could be pneumonia complication).","HAVE: Hot soups;turmeric milk;plenty of fluids (fever causes dehydration). AVOID: Cold foods;exertion of ANY kind.","Complete bed rest for at least 3-5 days. Isolate from family to prevent spread.","Persistent flu can leave you feeling weak for weeks ('post-viral fatigue'). Cough might linger.","Continue supportive care (steam;warm fluids). Don't rush back to work/school.","See doctor if you start getting better then suddenly get worse again with high fever (secondary bacterial infection).","HAVE: Vitamin C rich fruits once fever settles. AVOID: smoking.","Gentle movement only after fully recovered.","Severe Flu can be fatal for elderly/babies due to pneumonia or organ failure.","Hospitalization for IV fluids/oxygen might be needed for high-risk groups.","URGENT: RUSH TO HOSPITAL if severe shortness of breath;chest pain;or blue lips occur.","HAVE: Soft nutritious diet. AVOID: ignoring annual flu vaccine if you are in a high-risk group.","Cover coughs/sneezes strictly."
